Rk,Player,Pos,Squad,MP,Min,90s,xG,xA,Tkl,Blocks,Tkl+Int,Clr,Cmp%,KP,SoT,Save%,Price
102,Conor Coady\Conor-Coady,DF,Wolves,37,3303,36.7,1.3,0.1,31,59,56,163,88.1,2,2,0,0
103,SÃ©amus Coleman\Seamus-Coleman,DFMF,Everton,25,1613,17.9,1.2,1.9,39,39,61,38,81.5,18,4,0,0
104,Aaron Connolly\Aaron-Connolly,FW,Brighton,17,791,8.8,3.5,0.2,7,9,7,1,78.2,5,8,0,0
105,Liam Cooper\Liam-Cooper,DF,Leeds United,25,2185,24.3,1.3,0,76,45,129,123,87.7,0,8,0,0
106,Theo Corbeanu\Theo-Corbeanu,FW,Wolves,1,9,0.1,0,0.1,1,0,2,0,100,1,0,0,0
107,Jack Cork\Jack-Cork,MF,Burnley,16,1350,15,0.3,0.3,25,20,40,24,82.8,7,0,0,0
108,HÃ©lder Costa\Helder-Costa,MFFW,Leeds United,22,1156,12.8,2,0.9,30,19,36,9,73.8,9,6,0,0
109,VladimÃ­r Coufal\Vladimir-Coufal,DF,West Ham,34,3054,33.9,1.2,4.6,77,74,116,122,70.9,46,5,0,0
110,Aaron Cresswell\Aaron-Cresswell,DF,West Ham,36,3170,35.2,0.9,5.9,31,48,67,98,74.8,60,4,0,0
111,Patrick Cutrone\Patrick-Cutrone,FWMF,Wolves,2,25,0.3,0.2,0,0,0,0,0,80,0,0,0,0
112,Stuart Dallas\Stuart-Dallas,DFMF,Leeds United,38,3409,37.9,4.6,2.1,79,55,138,55,82,27,18,0,0
113,Scott Dann\Scott-Dann,DF,Crystal Palace,15,1350,15,0.3,0,10,26,18,75,84.1,1,2,0,0
114,Karl Darlow\Karl-Darlow,GK,Newcastle Utd,25,2250,25,0,0,0,0,1,2,50.1,1,0,66.7,0
115,Ben Davies\Ben-Davies,DF,Tottenham,20,1346,15,0.2,0.6,26,24,39,72,77.9,7,0,0,0
116,Tom Davies\Tom-Davies,MF,Everton,25,1423,15.8,0.2,1,33,21,67,30,83.8,7,0,0,0
117,Keinan Davis\Keinan-Davis,FWMF,Aston Villa,15,277,3.1,1,0.5,3,2,3,2,73.4,5,2,0,0
